,ID,Fwy,Dir,District,Latitude,Longitude
0,717413,91,W,7,33.877179,-118.143773
1,717365,91,W,7,33.872789,-118.276308
2,717410,91,W,7,33.877126,-118.153353
3,773383,91,E,7,33.873543,-118.197523
4,773366,91,E,7,33.862202,-118.042466
5,717390,91,E,7,33.872655,-118.203751
6,716313,91,E,7,33.876234,-118.104961
7,717396,91,E,7,33.876737,-118.184403
8,718326,91,E,7,33.876989,-118.143077
9,718327,91,W,7,33.872905,-118.203748
10,717443,91,E,7,33.86603,-118.049777
11,717406,91,E,7,33.876265,-118.158652
12,717373,91,E,7,33.873339,-118.246168
13,768229,91,E,7,33.87249,-118.059386
14,716311,91,W,7,33.876731,-118.114918
15,768898,91,E,7,33.876002,-118.126736
16,717397,91,W,7,33.87692,-118.184411
17,717431,91,E,7,33.876317,-118.084773
18,717392,91,W,7,33.87619,-118.191575
19,717381,91,E,7,33.873878,-118.227243
20,716296,91,E,7,33.876767,-118.177981
21,768907,91,W,7,33.876256,-118.122877
22,717438,91,W,7,33.876613,-118.071914
23,717442,91,W,7,33.866819,-118.050661
24,717379,91,E,7,33.87359,-118.236964
25,717434,91,E,7,33.876324,-118.080425
26,768909,91,E,7,33.87605,-118.122915
27,718130,91,E,7,33.873486,-118.259531
28,716314,91,W,7,33.876465,-118.104925
29,717388,91,W,7,33.873559,-118.213194
30,717416,91,W,7,33.877201,-118.142032
31,717384,91,W,7,33.873704,-118.219282
32,773365,91,W,7,33.862383,-118.04237
33,717421,91,W,7,33.876702,-118.132194
34,717420,91,E,7,33.8765,-118.132216
35,717399,91,W,7,33.876459,-118.1704
36,717387,91,E,7,33.873361,-118.213213
37,768222,91,W,7,33.872702,-118.059283
38,717383,91,E,7,33.873494,-118.219285
39,717404,91,W,7,33.876117,-118.161745
40,717419,91,E,7,33.877024,-118.139428
41,716312,91,E,7,33.876464,-118.114961
42,759989,91,W,7,33.876583,-118.075397
43,766555,91,W,7,33.873627,-118.060623
44,765467,91,E,7,33.876929,-118.149691
45,716295,91,W,7,33.876997,-118.177986
46,773382,91,W,7,33.873776,-118.197522
47,759990,91,W,7,33.876119,-118.065686
48,759979,91,E,7,33.873306,-118.060607
49,717428,91,W,7,33.876536,-118.084783
50,717433,91,W,7,33.87657,-118.080438
51,717436,91,E,7,33.876358,-118.074686
52,717367,91,E,7,33.872471,-118.27074
53,759967,91,E,7,33.875898,-118.166089
54,766211,91,W,7,33.876493,-118.095039
55,717393,91,E,7,33.876009,-118.191574
56,717376,91,E,7,33.873496,-118.251545
57,766210,91,E,7,33.876279,-118.095037
58,717424,91,W,7,33.87621,-118.126705
59,718066,2,W,7,34.121743,-118.229567
60,718064,2,W,7,34.112548,-118.245533
61,767621,2,W,7,34.135316,-118.229569
62,767542,2,W,7,34.116219,-118.238557
63,767573,2,W,7,34.128058,-118.228703
64,772421,47,N,7,33.749223,-118.270043
65,763544,57,N,7,33.971554,-117.846408
66,769061,57,N,7,33.966883,-117.84993
67,763551,57,N,7,33.988721,-117.842841
68,763583,57,S,7,34.029739,-117.811086
69,763588,57,S,7,33.981951,-117.842186
70,769068,57,N,7,33.982608,-117.842112
71,763968,57,S,7,33.960374,-117.856055
72,763578,57,S,7,34.040947,-117.802381
73,764089,57,N,7,34.11626,-117.823987
74,763595,57,S,7,33.966993,-117.850185
75,763537,57,N,7,33.960273,-117.855729
76,717896,605,S,7,33.974742,-118.079877
77,717925,605,S,7,34.01717,-118.05398
78,717906,605,N,7,33.992148,-118.069414
79,717934,605,N,7,34.026653,-118.038537
80,762678,605,S,7,33.985594,-118.072012
81,717875,605,N,7,33.926206,-118.1036
82,717909,605,N,7,33.994533,-118.068855
83,717863,605,N,7,33.888878,-118.104376
84,717881,605,N,7,33.951332,-118.090846
85,762622,605,N,7,33.972857,-118.080336
86,717943,605,S,7,34.031082,-118.03122
87,717858,605,N,7,33.886691,-118.104261
88,717889,605,S,7,33.966467,-118.083807
89,717942,605,S,7,34.028263,-118.036063
90,716797,605,S,7,33.942967,-118.095825
91,718466,605,N,7,33.92193,-118.104318
92,717894,605,S,7,33.972515,-118.080722
93,716819,605,N,7,34.009316,-118.057906
94,717903,605,N,7,33.9855,-118.071807
95,717877,605,S,7,33.935212,-118.099885
96,717926,605,N,7,34.01677,-118.05412
97,717922,605,N,7,34.005361,-118.06248
98,717933,605,S,7,34.026807,-118.038666
99,773749,605,N,7,33.878493,-118.103113
100,717857,605,N,7,33.881766,-118.103878
101,717899,605,N,7,33.979377,-118.077076
102,717907,605,S,7,33.992205,-118.069649
103,761675,605,N,7,33.916153,-118.104585
104,766851,605,N,7,33.902407,-118.105114
105,717912,605,S,7,33.994073,-118.069196
106,765501,605,S,7,34.089665,-117.99394
107,716800,605,N,7,33.958124,-118.087014
108,717915,605,N,7,34.003288,-118.064985
109,764021,605,S,7,34.004792,-118.063514
110,717930,605,S,7,34.01886,-118.051593
111,717879,605,N,7,33.942882,-118.09562
112,717916,605,S,7,34.004272,-118.064134
113,762671,605,S,7,33.950974,-118.091381
114,717864,605,N,7,33.909354,-118.104924
115,717892,605,N,7,33.966404,-118.083604
116,717885,605,S,7,33.958207,-118.087265
117,716829,605,N,7,34.030914,-118.031047
118,769513,605,N,7,33.936927,-118.098751
119,717898,605,S,7,33.980513,-118.076242
120,717945,605,N,7,34.05556,-118.003436
121,716788,605,N,7,33.903565,-118.10513
122,773743,605,N,7,33.877092,-118.102657
123,716784,605,N,7,33.894297,-118.104669
124,716834,605,N,7,34.053746,-118.004464
125,718204,134,E,7,34.155439,-118.295974
126,774067,134,W,7,34.153547,-118.284244
127,717572,134,W,7,34.153625,-118.327063
128,761003,134,E,7,34.155121,-118.309741
129,773869,134,E,7,34.154966,-118.317908
130,774204,134,W,7,34.154161,-118.343375
131,773927,134,E,7,34.152895,-118.279266
132,716554,134,W,7,34.156198,-118.265345
133,773916,134,E,7,34.152202,-118.282684
134,717573,134,E,7,34.154023,-118.324031
135,773953,134,E,7,34.155081,-118.290573
136,773954,134,W,7,34.155428,-118.29055
137,760987,134,E,7,34.153535,-118.339979
138,717571,134,W,7,34.153255,-118.359896
139,773904,134,E,7,34.155227,-118.294082
140,717576,134,W,7,34.15564,-118.29597
141,718496,134,W,7,34.154195,-118.343722
